This file lists the target used and the detector angles (lab frame) for each run.
The data format is:
*******************************************************************************
Run No.     Target          4m det angle    6m det angle
*******************************************************************************
217         polyethylene    23              23
218         graphite        23              23
219         blank(wire)     23              23 
221         Sn124           23              23
222         blank           23              23
223         Sn112           23              23
224         Sn112           30              29.83
225         blank           30              29.83
225         Sn124           30              29.83
227         Sn124           40              40
228         Sn124           40              40
229         blank           40              40
230         Sn112           40              40
231         Sn112           60              49.83
232         Sn112           60              49.83
233         blank           60              49.83
234         blank           60              49.83
235         Sn124           60              49.83
236         Sn124           60              49.83
237         Sn124           60              49.83
238         blank           60              49.83
239         Sn112           60              49.83
244         Sn112           70              34.67
245         blank           70              34.67
246         Sn124           70              34.67
247         Sn124           70              34.67
248         Sn124           70              34.67
249         blank           70              34.67
250         Sn112           70              34.67
251         Sn112           70              45
252         blank           70              45
253         Sn124           70              45
254         Sn124           90.17           45
255         blank           90.17           45
256         Sn112           90.17           45
257         Sn124           90.17           129.83
258         Sn124           90.17           129.83
259         blank           90.17           129.83
260         blank           90.17           129.83
261         Sn112           90.17           129.83
262         Sn112           90.17           129.83
264         Sn124           110             129.83
265         blank           110             129.83
266         blank           110             129.83
267         Sn112           110             129.83
268         Sn112           110             129.83
269         Sn112           110             129.83
270         blank           110             129.83
271         Sn124           110             100
272         Sn124           110             100
273         blank           110             100
274         blank           110             100
275         Sn112           110             100
276         Sn112           110             100
277         Sn112           110             100
278         Sn124           110             100
279         Sn124           110             100
280         blank           110             100
281         blank           110             100

