 CALCULATION WITH NEFF7 (VAX VERSION).

 EFFICIENCY OF THE DETECTOR IN
 THE ENERGY RANGE    EMIN             0. KEV
                     EMAX         20000. KEV
 ENERGY BIN WIDTH                    50. KEV

 NE 213 SCINTILLATOR
           DENSITY                0.8790 G/CM**3
           NH/NC                  1.2800
 LIGHT PIPE
           DENSITY                1.1800 G/CM**3
           NH/NC                  1.1000

 RADIUS OF THE SCINTILLATORS        4.28 CM
 HEIGHT   OF THE SCINTILLATOR         4.92 CM
 RADIUS OF THE HOUSING              4.44 CM
 HEIGHT OF THE HOUSING              5.08 CM

 LENGTH OF THE LIGHT PIPE           0.00 CM

 DISTANCE OF THE SOURCE FROM
 THE SCINTILLATOR CENTER          500.00 CM

 DIRECTION OF NEUTRON INCIDENCE
 TO THE SCINTILLATOR AXIS            0.0 DEGREES

 RESOLUTION PARAMETER     AA       18.00 PERCENT
                          BB       16.00 PERCENT
                          CC        7.00 PERCENT

 LIGHT OUTPUT (E IN MEV):
 PROT.: L = TABLE  0 IN FILE NWQ4               E<  8.00 MEV
        L =-1.47440 + 0.71400*E
 DEUT.: L = 2 * LPROTON(E/2)
 ALPHA: L =           0.02359*E** 1.87100              E<  6.76 MEV
        L =-0.73387 + 0.23320*E + 0.00000*E**2
    BE: L = 0.01000*E
   B,C: L = 0.00970*E

   0.00 GAMMA DETECTION FROM (N,N+G) WITH PL > 2.00

 NUMBER OF NEUTRONS  NMAX =      9000000

 EFFICIENCY   ( BIAS VALUES IN L(ELECTRON)):

    ENERGY BIN        BIAS    BIAS    BIAS    BIAS    BIAS    BIAS    BIAS    BIAS    BIAS    BIAS
      IN KEV        1.4260  0.9490  0.7105  0.4720
     0. -   50.    0.00000 0.00000 0.00000 0.00000
    50. -  100.    0.00000 0.00000 0.00000 0.00000
   100. -  150.    0.00000 0.00000 0.00000 0.00000
   150. -  200.    0.00000 0.00000 0.00000 0.00000
   200. -  250.    0.00000 0.00000 0.00000 0.00000
   250. -  300.    0.00000 0.00000 0.00000 0.00000
   300. -  350.    0.00000 0.00000 0.00000 0.00000
   350. -  400.    0.00000 0.00000 0.00000 0.00000
   400. -  450.    0.00000 0.00000 0.00000 0.00000
   450. -  500.    0.00000 0.00000 0.00000 0.00000
   500. -  550.    0.00000 0.00000 0.00000 0.00000
   550. -  600.    0.00000 0.00000 0.00000 0.00000
   600. -  650.    0.00000 0.00000 0.00000 0.00000
   650. -  700.    0.00000 0.00000 0.00000 0.00000
   700. -  750.    0.00000 0.00000 0.00000 0.00000
   750. -  800.    0.00000 0.00000 0.00000 0.00000
   800. -  850.    0.00000 0.00000 0.00000 0.00000
   850. -  900.    0.00000 0.00000 0.00000 0.00000
   900. -  950.    0.00000 0.00000 0.00000 0.00000
   950. - 1000.    0.00000 0.00000 0.00000 0.00000
  1000. - 1050.    0.00000 0.00000 0.00000 0.00000
  1050. - 1100.    0.00000 0.00000 0.00000 0.00000
  1100. - 1150.    0.00000 0.00000 0.00000 0.00000
  1150. - 1200.    0.00000 0.00000 0.00000 0.00000
  1200. - 1250.    0.00000 0.00000 0.00000 0.00000
  1250. - 1300.    0.00000 0.00000 0.00000 0.00000
  1300. - 1350.    0.00000 0.00000 0.00000 0.00000
  1350. - 1400.    0.00000 0.00000 0.00000 0.00014
  1400. - 1450.    0.00000 0.00000 0.00000 0.00021
  1450. - 1500.    0.00000 0.00000 0.00000 0.00077
  1500. - 1550.    0.00000 0.00000 0.00000 0.00200
  1550. - 1600.    0.00000 0.00000 0.00000 0.00338
  1600. - 1650.    0.00000 0.00000 0.00000 0.00669
  1650. - 1700.    0.00000 0.00000 0.00000 0.01046
  1700. - 1750.    0.00000 0.00000 0.00000 0.01623
  1750. - 1800.    0.00000 0.00000 0.00000 0.02552
  1800. - 1850.    0.00000 0.00000 0.00007 0.03496
  1850. - 1900.    0.00000 0.00000 0.00036 0.04488
  1900. - 1950.    0.00000 0.00000 0.00032 0.05377
  1950. - 2000.    0.00000 0.00000 0.00082 0.06908
  2000. - 2050.    0.00000 0.00000 0.00089 0.07679
  2050. - 2100.    0.00000 0.00000 0.00252 0.08134
  2100. - 2150.    0.00000 0.00000 0.00421 0.10010
  2150. - 2200.    0.00000 0.00000 0.00689 0.11066
  2200. - 2250.    0.00000 0.00000 0.01122 0.12208
  2250. - 2300.    0.00000 0.00009 0.01471 0.12981
  2300. - 2350.    0.00000 0.00018 0.02006 0.14410
  2350. - 2400.    0.00000 0.00033 0.02706 0.15235
  2400. - 2450.    0.00000 0.00069 0.03409 0.15769
  2450. - 2500.    0.00000 0.00111 0.04111 0.16665
  2500. - 2550.    0.00000 0.00159 0.04782 0.17352
  2550. - 2600.    0.00000 0.00282 0.05377 0.17663
  2600. - 2650.    0.00000 0.00540 0.06577 0.18511
  2650. - 2700.    0.00000 0.00687 0.07029 0.18962
  2700. - 2750.    0.00000 0.00933 0.08094 0.19703
  2750. - 2800.    0.00000 0.01365 0.08928 0.20352
  2800. - 2850.    0.00000 0.01836 0.09429 0.20264
  2850. - 2900.    0.00000 0.02185 0.09579 0.20403
  2900. - 2950.    0.00000 0.02688 0.10519 0.20952
  2950. - 3000.    0.00000 0.03102 0.10977 0.21229
  3000. - 3050.    0.00003 0.03909 0.12302 0.22114
  3050. - 3100.    0.00006 0.04572 0.12979 0.22352
  3100. - 3150.    0.00014 0.05191 0.13386 0.22365
  3150. - 3200.    0.00015 0.05712 0.13892 0.22398
  3200. - 3250.    0.00039 0.06108 0.14296 0.22659
  3250. - 3300.    0.00061 0.06719 0.14710 0.22857
  3300. - 3350.    0.00097 0.07383 0.15405 0.23011
  3350. - 3400.    0.00137 0.07868 0.15544 0.23226
  3400. - 3450.    0.00156 0.08308 0.15803 0.23056
  3450. - 3500.    0.00356 0.08673 0.16121 0.23229
  3500. - 3550.    0.00408 0.09048 0.16441 0.23544
  3550. - 3600.    0.00609 0.09622 0.16882 0.23708
  3600. - 3650.    0.00879 0.10117 0.16916 0.23493
  3650. - 3700.    0.01072 0.10763 0.17400 0.23678
  3700. - 3750.    0.01196 0.10970 0.17729 0.23951
  3750. - 3800.    0.01727 0.11835 0.18197 0.24105
  3800. - 3850.    0.01964 0.11961 0.18139 0.23856
  3850. - 3900.    0.02425 0.12535 0.18332 0.23973
  3900. - 3950.    0.02615 0.12704 0.18623 0.23922
  3950. - 4000.    0.03091 0.13265 0.19021 0.24336
  4000. - 4050.    0.03484 0.13693 0.19305 0.24346
  4050. - 4100.    0.03823 0.13979 0.19276 0.24325
  4100. - 4150.    0.04295 0.14083 0.19302 0.24214
  4150. - 4200.    0.04652 0.14610 0.19756 0.24760
  4200. - 4250.    0.04972 0.14801 0.19842 0.24403
  4250. - 4300.    0.05289 0.14932 0.19682 0.24226
  4300. - 4350.    0.05720 0.15481 0.20249 0.24646
  4350. - 4400.    0.06142 0.15736 0.20244 0.24355
  4400. - 4450.    0.06622 0.15949 0.20150 0.24564
  4450. - 4500.    0.07079 0.16052 0.20274 0.24424
  4500. - 4550.    0.07347 0.16209 0.20493 0.24502
  4550. - 4600.    0.07929 0.16749 0.20828 0.24782
  4600. - 4650.    0.08234 0.16750 0.20668 0.24526
  4650. - 4700.    0.08304 0.16433 0.20426 0.24312
  4700. - 4750.    0.08838 0.16946 0.20532 0.24287
  4750. - 4800.    0.08801 0.16608 0.20399 0.23827
  4800. - 4850.    0.09261 0.17015 0.20680 0.24215
  4850. - 4900.    0.09639 0.17025 0.20604 0.23953
  4900. - 4950.    0.10082 0.17252 0.20658 0.24110
  4950. - 5000.    0.09867 0.16936 0.20221 0.23631
  5000. - 5050.    0.10519 0.17499 0.20784 0.24008
  5050. - 5100.    0.10563 0.17356 0.20659 0.23838
  5100. - 5150.    0.10917 0.17698 0.20900 0.23919
  5150. - 5200.    0.11141 0.17494 0.20493 0.23537
  5200. - 5250.    0.11395 0.17703 0.20690 0.23928
  5250. - 5300.    0.11429 0.17646 0.20584 0.23698
  5300. - 5350.    0.11746 0.17707 0.20624 0.23539
  5350. - 5400.    0.11893 0.17776 0.20766 0.23613
  5400. - 5450.    0.11762 0.17656 0.20324 0.23118
  5450. - 5500.    0.12072 0.17705 0.20398 0.23011
  5500. - 5550.    0.12046 0.17451 0.20129 0.22977
  5550. - 5600.    0.12619 0.17780 0.20401 0.23042
  5600. - 5650.    0.12719 0.18035 0.20515 0.23186
  5650. - 5700.    0.12518 0.17531 0.20045 0.22558
  5700. - 5750.    0.12855 0.17814 0.20412 0.23023
  5750. - 5800.    0.12977 0.17700 0.20156 0.22753
  5800. - 5850.    0.13028 0.17841 0.20162 0.22633
  5850. - 5900.    0.13075 0.17772 0.20135 0.22482
  5900. - 5950.    0.13414 0.17901 0.20203 0.22606
  5950. - 6000.    0.13314 0.17899 0.20217 0.22577
  6000. - 6050.    0.13326 0.17670 0.19855 0.22193
  6050. - 6100.    0.13428 0.17668 0.19806 0.22097
  6100. - 6150.    0.13501 0.17608 0.19855 0.22265
  6150. - 6200.    0.13398 0.17551 0.19638 0.21824
  6200. - 6250.    0.13601 0.17566 0.19642 0.21913
  6250. - 6300.    0.13485 0.17708 0.19831 0.22093
  6300. - 6350.    0.13672 0.17772 0.19827 0.22100
  6350. - 6400.    0.13416 0.17181 0.19300 0.21432
  6400. - 6450.    0.13832 0.17673 0.19671 0.21867
  6450. - 6500.    0.13928 0.17690 0.19697 0.21736
  6500. - 6550.    0.14065 0.17743 0.19671 0.21750
  6550. - 6600.    0.13720 0.17384 0.19277 0.21368
  6600. - 6650.    0.13849 0.17471 0.19369 0.21476
  6650. - 6700.    0.14165 0.17709 0.19588 0.21635
  6700. - 6750.    0.14166 0.17643 0.19462 0.21460
  6750. - 6800.    0.14218 0.17745 0.19610 0.21680
  6800. - 6850.    0.14428 0.17835 0.19564 0.21517
  6850. - 6900.    0.14324 0.17603 0.19473 0.21457
  6900. - 6950.    0.14238 0.17593 0.19306 0.21349
  6950. - 7000.    0.14282 0.17695 0.19439 0.21340
