 CALCULATION WITH NEFF7 (VAX VERSION).

 EFFICIENCY OF THE DETECTOR IN
 THE ENERGY RANGE    EMIN             0. KEV
                     EMAX         20000. KEV
 ENERGY BIN WIDTH                    50. KEV

 NE 213 SCINTILLATOR
           DENSITY                0.8740 G/CM**3
           NH/NC                  1.2130
 LIGHT PIPE
           DENSITY                1.1800 G/CM**3
           NH/NC                  1.1000

 RADIUS OF THE SCINTILLATORS        6.19 CM
 HEIGHT   OF THE SCINTILLATOR         4.92 CM
 RADIUS OF THE HOUSING              6.35 CM
 HEIGHT OF THE HOUSING              5.08 CM

 LENGTH OF THE LIGHT PIPE           0.00 CM

 DISTANCE OF THE SOURCE FROM
 THE SCINTILLATOR CENTER          500.00 CM

 DIRECTION OF NEUTRON INCIDENCE
 TO THE SCINTILLATOR AXIS            0.0 DEGREES

 RESOLUTION PARAMETER     AA       16.00 PERCENT
                          BB       12.00 PERCENT
                          CC        6.00 PERCENT

 LIGHT OUTPUT (E IN MEV):
 PROT.: L = TABLE  0 IN FILE NWQ4               E<  8.00 MEV
        L =-1.47440 + 0.71400*E
 DEUT.: L = 2 * LPROTON(E/2)
 ALPHA: L =           0.02359*E** 1.87100              E<  6.76 MEV
        L =-0.73387 + 0.23320*E + 0.00000*E**2
    BE: L = 0.01000*E
   B,C: L = 0.00970*E

   0.00 GAMMA DETECTION FROM (N,N+G) WITH PL > 2.00

 NUMBER OF NEUTRONS  NMAX =      9000000

 EFFICIENCY   ( BIAS VALUES IN L(ELECTRON)):

    ENERGY BIN        BIAS    BIAS    BIAS    BIAS    BIAS    BIAS    BIAS    BIAS    BIAS    BIAS
      IN KEV        1.4260  0.9490  0.7105  0.4720
     0. -   50.    0.00000 0.00000 0.00000 0.00000
    50. -  100.    0.00000 0.00000 0.00000 0.00000
   100. -  150.    0.00000 0.00000 0.00000 0.00000
   150. -  200.    0.00000 0.00000 0.00000 0.00000
   200. -  250.    0.00000 0.00000 0.00000 0.00000
   250. -  300.    0.00000 0.00000 0.00000 0.00000
   300. -  350.    0.00000 0.00000 0.00000 0.00000
   350. -  400.    0.00000 0.00000 0.00000 0.00000
   400. -  450.    0.00000 0.00000 0.00000 0.00000
   450. -  500.    0.00000 0.00000 0.00000 0.00000
   500. -  550.    0.00000 0.00000 0.00000 0.00000
   550. -  600.    0.00000 0.00000 0.00000 0.00000
   600. -  650.    0.00000 0.00000 0.00000 0.00000
   650. -  700.    0.00000 0.00000 0.00000 0.00000
   700. -  750.    0.00000 0.00000 0.00000 0.00000
   750. -  800.    0.00000 0.00000 0.00000 0.00000
   800. -  850.    0.00000 0.00000 0.00000 0.00000
   850. -  900.    0.00000 0.00000 0.00000 0.00000
   900. -  950.    0.00000 0.00000 0.00000 0.00000
   950. - 1000.    0.00000 0.00000 0.00000 0.00000
  1000. - 1050.    0.00000 0.00000 0.00000 0.00000
  1050. - 1100.    0.00000 0.00000 0.00000 0.00000
  1100. - 1150.    0.00000 0.00000 0.00000 0.00000
  1150. - 1200.    0.00000 0.00000 0.00000 0.00000
  1200. - 1250.    0.00000 0.00000 0.00000 0.00000
  1250. - 1300.    0.00000 0.00000 0.00000 0.00000
  1300. - 1350.    0.00000 0.00000 0.00000 0.00000
  1350. - 1400.    0.00000 0.00000 0.00000 0.00000
  1400. - 1450.    0.00000 0.00000 0.00000 0.00000
  1450. - 1500.    0.00000 0.00000 0.00000 0.00020
  1500. - 1550.    0.00000 0.00000 0.00000 0.00063
  1550. - 1600.    0.00000 0.00000 0.00000 0.00167
  1600. - 1650.    0.00000 0.00000 0.00000 0.00357
  1650. - 1700.    0.00000 0.00000 0.00000 0.00777
  1700. - 1750.    0.00000 0.00000 0.00000 0.01421
  1750. - 1800.    0.00000 0.00000 0.00000 0.02170
  1800. - 1850.    0.00000 0.00000 0.00000 0.03226
  1850. - 1900.    0.00000 0.00000 0.00000 0.04165
  1900. - 1950.    0.00000 0.00000 0.00009 0.05107
  1950. - 2000.    0.00000 0.00000 0.00018 0.06527
  2000. - 2050.    0.00000 0.00000 0.00061 0.07621
  2050. - 2100.    0.00000 0.00000 0.00100 0.08128
  2100. - 2150.    0.00000 0.00000 0.00226 0.09809
  2150. - 2200.    0.00000 0.00000 0.00465 0.10559
  2200. - 2250.    0.00000 0.00000 0.00864 0.11820
  2250. - 2300.    0.00000 0.00000 0.01259 0.12825
  2300. - 2350.    0.00000 0.00003 0.01905 0.13915
  2350. - 2400.    0.00000 0.00006 0.02466 0.14923
  2400. - 2450.    0.00000 0.00043 0.03217 0.15454
  2450. - 2500.    0.00000 0.00040 0.03819 0.16170
  2500. - 2550.    0.00000 0.00089 0.04715 0.17023
  2550. - 2600.    0.00000 0.00164 0.05498 0.17925
  2600. - 2650.    0.00000 0.00286 0.06096 0.18207
  2650. - 2700.    0.00000 0.00475 0.06923 0.18521
  2700. - 2750.    0.00000 0.00820 0.07729 0.19421
  2750. - 2800.    0.00000 0.01161 0.08433 0.19819
  2800. - 2850.    0.00000 0.01527 0.09280 0.20298
  2850. - 2900.    0.00000 0.01882 0.09680 0.20213
  2900. - 2950.    0.00000 0.02463 0.09977 0.20180
  2950. - 3000.    0.00000 0.03074 0.11065 0.21355
  3000. - 3050.    0.00000 0.03655 0.12006 0.21847
  3050. - 3100.    0.00000 0.04323 0.12552 0.21791
  3100. - 3150.    0.00000 0.04628 0.12789 0.21750
  3150. - 3200.    0.00000 0.05478 0.13494 0.22170
  3200. - 3250.    0.00009 0.05857 0.13873 0.22120
  3250. - 3300.    0.00009 0.06388 0.14129 0.21999
  3300. - 3350.    0.00027 0.06843 0.14809 0.22430
  3350. - 3400.    0.00072 0.07497 0.15136 0.22449
  3400. - 3450.    0.00126 0.08096 0.15465 0.22728
  3450. - 3500.    0.00162 0.08385 0.15638 0.22672
  3500. - 3550.    0.00256 0.08859 0.15735 0.22775
  3550. - 3600.    0.00457 0.09430 0.16476 0.23234
  3600. - 3650.    0.00521 0.10187 0.16930 0.23384
  3650. - 3700.    0.00797 0.10049 0.16494 0.22837
  3700. - 3750.    0.01098 0.10818 0.17313 0.23514
  3750. - 3800.    0.01409 0.11142 0.17408 0.23191
  3800. - 3850.    0.01897 0.12150 0.18225 0.24045
  3850. - 3900.    0.02173 0.12288 0.18449 0.23973
  3900. - 3950.    0.02376 0.12318 0.18102 0.23492
  3950. - 4000.    0.02906 0.13001 0.18584 0.23969
  4000. - 4050.    0.03104 0.13211 0.18590 0.23893
  4050. - 4100.    0.03652 0.13630 0.18810 0.23739
  4100. - 4150.    0.03997 0.13839 0.19201 0.23914
  4150. - 4200.    0.04613 0.14532 0.19650 0.24420
  4200. - 4250.    0.04885 0.14917 0.19971 0.24662
  4250. - 4300.    0.05399 0.15541 0.20260 0.24923
  4300. - 4350.    0.05459 0.15352 0.19902 0.24259
  4350. - 4400.    0.06001 0.15232 0.19558 0.23756
  4400. - 4450.    0.06390 0.15566 0.19885 0.24016
  4450. - 4500.    0.06780 0.15807 0.20085 0.24146
  4500. - 4550.    0.07341 0.16052 0.20190 0.24261
  4550. - 4600.    0.07545 0.16142 0.20034 0.23721
  4600. - 4650.    0.07803 0.16155 0.20060 0.23885
  4650. - 4700.    0.08353 0.16551 0.20277 0.23979
  4700. - 4750.    0.08649 0.16769 0.20371 0.24129
  4750. - 4800.    0.08981 0.16833 0.20388 0.23860
  4800. - 4850.    0.09289 0.16735 0.20099 0.23522
  4850. - 4900.    0.09458 0.16720 0.20176 0.23682
  4900. - 4950.    0.09992 0.16896 0.20154 0.23535
  4950. - 5000.    0.09943 0.16959 0.20253 0.23490
  5000. - 5050.    0.10117 0.16797 0.19921 0.23164
  5050. - 5100.    0.10315 0.16869 0.20085 0.23198
  5100. - 5150.    0.10733 0.17062 0.20087 0.23236
  5150. - 5200.    0.10981 0.17155 0.20248 0.23230
  5200. - 5250.    0.11158 0.17077 0.20025 0.23094
  5250. - 5300.    0.11157 0.17248 0.19970 0.22919
  5300. - 5350.    0.11529 0.17513 0.20210 0.23007
  5350. - 5400.    0.11501 0.17130 0.19930 0.22562
  5400. - 5450.    0.11761 0.17408 0.19958 0.22659
  5450. - 5500.    0.11937 0.17189 0.19858 0.22576
  5500. - 5550.    0.11952 0.17127 0.19782 0.22464
  5550. - 5600.    0.12237 0.17474 0.20044 0.22603
  5600. - 5650.    0.12073 0.17154 0.19586 0.22111
  5650. - 5700.    0.12387 0.17349 0.19765 0.22298
  5700. - 5750.    0.12389 0.17005 0.19411 0.21873
  5750. - 5800.    0.12560 0.17178 0.19623 0.22112
  5800. - 5850.    0.12488 0.17022 0.19280 0.21642
  5850. - 5900.    0.12832 0.17416 0.19673 0.21889
  5900. - 5950.    0.12886 0.17252 0.19625 0.21985
  5950. - 6000.    0.12700 0.17099 0.19223 0.21591
  6000. - 6050.    0.12985 0.17237 0.19358 0.21622
  6050. - 6100.    0.12707 0.16951 0.19086 0.21434
  6100. - 6150.    0.13008 0.17171 0.19240 0.21411
  6150. - 6200.    0.12671 0.16827 0.18803 0.21037
  6200. - 6250.    0.13285 0.17377 0.19351 0.21683
  6250. - 6300.    0.13056 0.17228 0.19398 0.21550
  6300. - 6350.    0.13034 0.17102 0.19088 0.21238
  6350. - 6400.    0.13716 0.17480 0.19422 0.21358
  6400. - 6450.    0.13606 0.17233 0.19238 0.21355
  6450. - 6500.    0.13354 0.16997 0.18948 0.20959
  6500. - 6550.    0.13368 0.17060 0.18879 0.20865
  6550. - 6600.    0.13442 0.16876 0.18758 0.20662
  6600. - 6650.    0.13588 0.17028 0.18805 0.20780
  6650. - 6700.    0.13902 0.17284 0.19079 0.21115
  6700. - 6750.    0.14009 0.17355 0.19170 0.21148
  6750. - 6800.    0.13586 0.16935 0.18690 0.20602
  6800. - 6850.    0.14067 0.17356 0.18990 0.20942
  6850. - 6900.    0.13868 0.17003 0.18683 0.20543
  6900. - 6950.    0.13734 0.16827 0.18536 0.20480
  6950. - 7000.    0.13848 0.17011 0.18740 0.20551
