DOM Prediction (local model, 2018-04-19)
Sn112(n,n) [17 MeV]
Degrees    mB/sr      Error (mB/sr)
 30.0      120        0
 35.0      4          0
 40.0      26         0
 45.0      28         0
 50.0      15         0
 55.0      12         0
 60.0      18         0
 65.0      19         0
 70.0      12         0
 75.0      7          0
 80.0      5          0
 85.0      7          0
 90.0      10         0
 95.0      11         0
100.0      10         0
105.0      6          0
110.0      4          0
115.0      3          0
120.0      3          0
125.0      4          0
130.0      4          0
135.0      4          0
140.0      3          0
145.0      1          0
150.0      1          0
