Literature data from J. Rapaport et al (1980)
Sn116(n,n) [11 MeV]
Degrees    mB/sr      Error (mB/sr)
 15.1      3617.      109.
 20.2      2046.      61.0
 25.2      919.6      28.0
 30.3      299.3      9.00
 35.3      60.84      1.80
 40.4      58.10      1.74
 45.4      122.0      3.70
 50.4      160.6      4.80
 55.4      148.7      4.50
 60.5      112.4      3.40
 65.5      65.38      2.30
 70.5      29.95      1.05
 75.5      11.51      0.400
 80.5      5.780      0.230
 85.5      8.440      0.250
 90.6      14.13      0.570
 95.5      20.19      0.850
100.5      24.00      0.840
105.5      22.99      0.800
110.5      17.35      0.610
115.5      10.78      0.430
120.5      6.520      0.290
125.4      4.860      0.270
130.4      7.300      0.290
135.4      9.700      0.390
140.4      10.95      0.440
145.3      10.52      0.740
150.3      8.310      0.660
