Literature data from J. Rapaport et al (1980)
Sn118(n,n) [11 MeV]
 Degrees    mB/sr       Error (mB/sr)
 15.1      3676.      110.
 20.2      2152.      64.6
 25.2      936.0      28.1
 30.2      346.9      10.4
 35.3      69.59      2.09
 40.3      59.42      1.78
 45.3      129.7      3.89
 50.4      165.7      4.97
 55.4      158.8      4.76
 60.4      117.6      3.53
 65.4      67.06      2.01
 70.5      31.77      0.950
 75.5      12.92      0.390
 80.5      6.590      0.240
 85.5      7.530      0.340
 90.5      16.57      0.500
 95.5      21.31      0.640
100.5      24.08      0.720
105.5      23.27      0.700
110.5      17.42      0.520
115.4      10.88      0.330
120.4      5.680      0.170
125.4      6.190      0.280
130.4      8.070      0.320
135.3      10.22      0.370
140.3      11.19      0.380
145.3      10.95      0.380
150.2      11.65      0.370
