Literature data from P. P. Guss (1989)
Sn120(n,n) [17 MeV]
Degrees      mB/sr    Error (mB/sr)
 19.6      3107.80    289.90
 21.8      1461.87    106.64
 24.0       824.09     63.67
 26.2       430.78     35.61
 28.4       244.92     17.12
 34.4        20.74      1.63
 41.3        32.26      4.00
 45.7        48.93      2.88
 50.4        52.82      1.57
 55.2        44.76      1.65
 60.1        37.01      1.36
 64.9        31.28      2.11
 69.6        18.23      1.18
 74.9         8.59      0.65
 81.1        11.80      1.17
 85.9        19.89      0.99
 90.4        24.31      1.62
 94.9        22.45      2.03
 99.7        14.07      0.69
105.0        11.53      1.42
110.1         8.97      0.55
115.0         8.51      0.36
120.1         7.37      0.57
125.4         7.84      0.54
130.3        10.54      0.54
134.9         9.14      1.23
139.5         9.18      0.72
144.3         5.75      1.16
149.9         3.62      0.47
155.4         6.61      0.56
