Literature data from J. Rapaport et al (1980)
Sn122(n,n) [11 MeV]
 Degrees   mB/sr      Error (mB/sr)
 15.1      3914.      117.
 20.2      2168.      65.0
 25.2      920.0      27.6
 30.2      322.4      9.67
 35.3      76.17      2.29
 40.3      77.75      2.33
 45.3      150.6      4.52
 50.4      180.6      5.42
 55.4      206.8      6.20
 60.4      117.5      3.52
 65.4      64.54      1.94
 70.4      30.98      0.930
 75.4      13.36      0.400
 80.5      7.760      0.230
 85.5      12.10      0.360
 90.5      19.86      0.600
 95.5      24.44      0.730
100.5      27.21      0.820
105.4      26.30      0.790
110.4      19.40      0.580
115.4      12.61      0.380
120.4      5.890      0.360
125.4      8.280      0.470
130.4      11.70      0.460
135.3      15.14      0.610
140.3      16.08      0.640
145.3      13.59      0.590
150.2      18.67      0.740
