This file lists the target used and the detector angles (lab frame) for each run.
The data format is:
*******************************************************************************
Run No.     Target          4m det angle    6m det angle    Production?
*******************************************************************************
217         polyethylene    23              23              N
218         graphite        23              23              N
219         blank           23              23              N

221         Sn124           23              23              Y
222         blank           23              23              Y
223         Sn112           23              23              Y

224         Sn112           30              29.83           Y
225         blank           30              29.83           Y
226         Sn124           30              29.83           Y

227         Sn124           40              40              N
228         Sn124           40              40              Y
229         blank           40              40              Y
230         Sn112           40              40              Y

231         Sn112           60              49.83           Y
232         Sn112           60              49.83           Y
233         blank           60              49.83           Y
234         blank           60              49.83           Y
235         Sn124           60              49.83           Y
236         Sn124           60              49.83           Y
237         Sn124           60              49.83           Y
238         blank           60              49.83           Y
239         Sn112           60              49.83           Y

244         Sn112           70              34.67           Y
245         blank           70              34.67           Y
246         Sn124           70              34.67           Y
247         Sn124           70              34.67           Y
248         Sn124           70              34.67           Y
249         blank           70              34.67           Y
250         Sn112           70              34.67           Y

251         Sn112           70              45              Y
252         blank           70              45              Y
253         Sn124           70              45              Y

254         Sn124           90.17           45              Y
255         blank           90.17           45              Y
256         Sn112           90.17           45              Y

257         Sn124           90.17           129.83          Y
258         Sn124           90.17           129.83          Y
259         blank           90.17           129.83          Y
260         blank           90.17           129.83          Y
261         Sn112           90.17           129.83          Y
262         Sn112           90.17           129.83          Y

264         Sn124           110             129.83          Y
265         blank           110             129.83          Y
266         blank           110             129.83          Y
267         Sn112           110             129.83          Y
268         Sn112           110             129.83          Y
269         Sn112           110             129.83          Y
270         blank           110             129.83          Y

271         Sn124           110             100             Y
272         Sn124           110             100             Y
273         blank           110             100             Y
274         blank           110             100             Y
275         Sn112           110             100             Y
276         Sn112           110             100             Y
277         Sn112           110             100             Y
278         Sn124           110             100             Y
279         Sn124           110             100             Y
280         blank           110             100             Y
281         blank           110             100             Y
285         Sn112           120             100             Y

286         Sn112           120             80              Y
287         blank           120             80              Y
288         blank           120             80              Y
289         Sn124           120             80              Y
290         Sn124           120             80              Y
291         Sn112           120             80              Y
292         blank           120             80              Y
293         blank           120             80              Y
294         blank           120             80              Y
295         Sn112           120             80              Y
296         Sn112           120             80              Y
297         Sn112           120             80              Y
298         Sn124           120             80              Y
299         Sn124           120             80              Y
300         Sn124           120             80              Y
301         blank           120             80              Y
302         blank           120             80              Y
303         blank           120             80              Y

304         Sn112           49.67           60              Y
305         Sn112           49.67           60              Y
306         blank           49.67           60              Y
307         blank           49.67           60              Y
308         Sn124           49.67           60              Y
309         Sn124           49.67           60              Y
310         SnNat           49.67           60              Y
311         SnNat           49.67           60              Y

312         polyethylene    23              23              Y
313         blank           23              23              Y
314         graphite        23              23              Y

315         polyethylene    30              30              Y
316         blank           30              30              Y
317         graphite        30              30              Y

318         Sn124           30              30              Y
319         blank           30              30              Y
320         Sn112           30              30              Y
321         Sn112           30              30              Y

322         Sn112           65              55              Y
323         Sn112           65              55              Y
324         blank           65              55              Y
325         blank           65              55              Y
326         Sn124           65              55              Y
327         Sn124           65              55              Y

328         Sn124           140             75              Y
329         Sn124           140             75              Y
330         blank           140             75              Y
331         blank           140             75              Y
332         Sn112           140             75              Y
333         Sn112           140             75              Y
334         Sn112           140             75              Y
335         Sn112           140             75              Y
336         Sn112           140             75              Y
337         blank           140             75              Y
338         blank           140             75              Y
339         blank           140             75              Y
340         Sn124           140             75              Y
341         Sn124           140             75              Y
342         Sn124           140             75              Y
