This file lists the target used and the detector angles (lab frame) for each run.
The data format is:
*******************************************************************************
Run No.     Target          4m det angle    6m det angle
*******************************************************************************
60          polyethylene    32.5            32.5
61          graphite        32.5            32.5
62          blank(wire)     32.5            32.5
63          Sn124           32.5            32.5
64          blank           32.5            32.5
65          Sn112           32.5            32.5

68          Sn112           49.67           50.0
69          Sn124           49.67           50.0
70          blank           49.67           50.0

71          Sn112           54.33           45.0
72          blank           54.33           45.0
73          Sn124           54.33           45.0

76          Sn124           65.0            40.0
77          blank           65.0            40.0
78          Sn112           65.0            40.0

79          Sn112           100.0           30.5
80          Sn124           100.0           30.5
81          blank           100.0           30.5

82          Sn112           100.0           110.0
83          blank           100.0           110.0
84          Sn124           100.0           110.0

85          Sn124           140.0           110.0
86          blank           140.0           110.0
87          Sn112           140.0           110.0
92          Sn112           140.0           110.0
93          blank           140.0           110.0
94          Sn124           140.0           110.0

95          Sn124           140.0           90.17
96          blank           140.0           90.17
97          Sn112           140.0           90.17

98          Sn112           120.0           90.17
99          blank           120.0           90.17
100         Sn124           120.0           90.17
101         Sn124           120.0           90.17
102         blank           120.0           90.17
103         Sn112           120.0           90.17
104         Sn112           120.0           90.17
105         blank           120.0           90.17
107         Sn124           120.0           90.17

108         Sn124           120.0           70.0
109         blank           120.0           70.0
110         Sn112           120.0           70.0

112         Sn112           80.0            34.67
113         blank           80.0            34.67
114         Sn124           80.0            34.67
115         Sn124           80.0            34.67
117         blank           80.0            34.67
118         Sn112           80.0            34.67
119         Sn112           80.0            34.67
120         blank           80.0            34.67

121         blank           80.0            32.67
122         Sn124           80.0            32.67
123         Sn124           80.0            32.67
124         blank           80.0            32.67
112         Sn112           80.0            32.67
