# mesh name: testDetector
# primitive scorer name: cellCurrent
# iZ, iPHI, iR, total(value) , total(val^2), entry
0,0,0,12722,12722,12723
0,0,1,77,77,78
0,0,2,102,102,103
0,0,3,139,139,140
0,1,0,9582,9594,9578
0,1,1,50,50,51
0,1,2,102,102,103
0,1,3,114,114,115
0,2,0,9844,9844,9845
0,2,1,68,68,69
0,2,2,95,95,96
0,2,3,102,102,103
0,3,0,12959,12965,12958
0,3,1,86,86,87
0,3,2,105,105,106
0,3,3,166,166,167
1,0,0,11986,11986,11987
1,0,1,79,79,80
1,0,2,102,102,103
1,0,3,138,138,139
1,1,0,10652,10664,10648
1,1,1,50,50,51
1,1,2,102,102,103
1,1,3,111,111,112
1,2,0,10935,10935,10936
1,2,1,65,65,66
1,2,2,95,95,96
1,2,3,102,102,103
1,3,0,12191,12205,12188
1,3,1,87,87,88
1,3,2,108,108,109
1,3,3,166,166,167
2,0,0,10916,10916,10917
2,0,1,81,81,82
2,0,2,101,101,102
2,0,3,137,137,138
2,1,0,11680,11692,11676
2,1,1,50,50,51
2,1,2,102,102,103
2,1,3,112,112,113
2,2,0,12021,12021,12022
2,2,1,67,67,68
2,2,2,95,95,96
2,2,3,102,102,103
2,3,0,11100,11114,11097
2,3,1,87,87,88
2,3,2,107,107,108
2,3,3,165,165,166
3,0,0,9890,9890,9891
3,0,1,83,83,84
3,0,2,99,99,100
3,0,3,136,136,137
3,1,0,12414,12426,12410
3,1,1,50,50,51
3,1,2,101,101,102
3,1,3,112,112,113
3,2,0,12783,12783,12784
3,2,1,71,71,72
3,2,2,96,96,97
3,2,3,105,105,106
3,3,0,10014,10028,10011
3,3,1,85,85,86
3,3,2,106,106,107
3,3,3,163,163,164
